"TIME","GEO","UNIT","DURATION","PARTNER","TourismValue"
"2015","Belgium","Percentage of total population","4 nights or over","Outbound","32.09"
"2015","Bulgaria","Percentage of total population","4 nights or over","Outbound","2.46"
"2015","Czech Republic","Percentage of total population","4 nights or over","Outbound","18.26"
"2015","Denmark","Percentage of total population","4 nights or over","Outbound","35.1"
"2015","Germany (until 1990 former territory of the FRG)","Percentage of total population","4 nights or over","Outbound","30.72"
"2015","Estonia","Percentage of total population","4 nights or over","Outbound","24.68"
"2015","Ireland","Percentage of total population","4 nights or over","Outbound","23.94"
"2015","Greece","Percentage of total population","4 nights or over","Outbound","3.07"
"2015","Spain","Percentage of total population","4 nights or over","Outbound","7.4"
"2015","France","Percentage of total population","4 nights or over","Outbound","7.22"
"2015","Croatia","Percentage of total population","4 nights or over","Outbound","5.64"
"2015","Italy","Percentage of total population","4 nights or over","Outbound","7.9"
"2015","Cyprus","Percentage of total population","4 nights or over","Outbound","14.97"
"2015","Latvia","Percentage of total population","4 nights or over","Outbound","18.15"
"2015","Lithuania","Percentage of total population","4 nights or over","Outbound","21.06"
"2015","Luxembourg","Percentage of total population","4 nights or over","Outbound","71.67"
"2015","Hungary","Percentage of total population","4 nights or over","Outbound","11.77"
"2015","Malta","Percentage of total population","4 nights or over","Outbound","28.52"
"2015","Netherlands","Percentage of total population","4 nights or over","Outbound","40.39"
"2015","Austria","Percentage of total population","4 nights or over","Outbound","19.12"
"2015","Poland","Percentage of total population","4 nights or over","Outbound","6.11"
"2015","Portugal","Percentage of total population","4 nights or over","Outbound","1.9"
"2015","Romania","Percentage of total population","4 nights or over","Outbound","1.25"
"2015","Slovenia","Percentage of total population","4 nights or over","Outbound","39.17"
"2015","Slovakia","Percentage of total population","4 nights or over","Outbound","24.5"
"2015","Finland","Percentage of total population","4 nights or over","Outbound","15.65"
"2015","Sweden","Percentage of total population","4 nights or over","Outbound","18.76"
"2015","United Kingdom","Percentage of total population","4 nights or over","Outbound","22.83"
"2015","Switzerland","Percentage of total population","4 nights or over","Outbound","51.27"
