"Regio";"Jaar";"Geen kerkelijke gezindte";"Totaal kerkelijke gezindte";"Rooms-Katholiek";"Protestantse Kerk in Nederland";"Nederlands Hervormd";"Gereformeerd";"Islam";"Overige gezindte"
"Nederland";"2010";"45";"55";"27";"6";"8";"4";"5";"5"
"Nederland";"2011";"47";"53";"26";"6";"7";"4";"5";"5"
"Nederland";"2012";"48";"52";"26";"6";"7";"3";"5";"5"
"Nederland";"2013";"47";"53";"26";"5";"7";"4";"5";"6"
"Nederland";"2014";"49";"51";"24";"6";"7";"3";"5";"6"
"Nederland";"2015";"50";"50";"24";"6";"6";"3";"5";"6"
"Groningen";"2010";"61";"39";"5";"7";"9";"10";"1";"6"
"Groningen";"2011";"63";"37";"8";"7";"7";"9";"2";"5"
"Groningen";"2012";"64";"36";"5";"10";"7";"8";"2";"4"
"Groningen";"2013";"64";"36";"6";"8";"7";"8";"2";"6"
"Groningen";"2014";"66";"34";"5";"8";"6";"6";"2";"6"
"Groningen";"2015";"69";"31";"5";"8";"5";"6";"1";"6"
"Friesland";"2010";"55";"45";"6";"16";"10";"8";"1";"4"
"Friesland";"2011";"53";"48";"7";"15";"10";"9";"1";"6"
"Friesland";"2012";"53";"47";"7";"17";"10";"8";"1";"4"
"Friesland";"2013";"54";"46";"8";"12";"9";"9";"1";"6"
"Friesland";"2014";"58";"42";"5";"15";"7";"8";"1";"5"
"Friesland";"2015";"58";"42";"7";"14";"6";"7";"1";"7"
"Drenthe";"2010";"55";"45";"9";"10";"14";"6";"1";"5"
"Drenthe";"2011";"55";"45";"8";"10";"14";"6";"1";"6"
"Drenthe";"2012";"59";"41";"8";"8";"14";"5";"1";"6"
"Drenthe";"2013";"60";"40";"10";"5";"11";"7";"1";"6"
"Drenthe";"2014";"61";"39";"8";"8";"10";"6";"1";"6"
"Drenthe";"2015";"62";"38";"9";"8";"11";"5";"1";"4"
"Overijssel";"2010";"39";"61";"26";"8";"14";"6";"3";"4"
"Overijssel";"2011";"42";"58";"25";"7";"12";"6";"3";"5"
"Overijssel";"2012";"43";"57";"22";"7";"12";"7";"3";"7"
"Overijssel";"2013";"43";"56";"23";"7";"11";"7";"3";"6"
"Overijssel";"2014";"43";"57";"22";"8";"12";"7";"4";"5"
"Overijssel";"2015";"42";"58";"23";"8";"12";"6";"3";"6"
"Flevoland";"2010";"53";"47";"12";"9";"5";"6";"5";"10"
"Flevoland";"2011";"56";"44";"12";"7";"4";"8";"4";"8"
"Flevoland";"2012";"58";"42";"12";"6";"6";"4";"5";"8"
"Flevoland";"2013";"55";"45";"14";"6";"5";"6";"6";"8"
"Flevoland";"2014";"54";"46";"13";"6";"4";"6";"6";"10"
"Flevoland";"2015";"55";"45";"12";"6";"3";"7";"7";"10"
"Gelderland";"2010";"42";"59";"24";"8";"14";"4";"3";"5"
"Gelderland";"2011";"44";"56";"24";"7";"12";"5";"3";"5"
"Gelderland";"2012";"44";"56";"23";"7";"13";"4";"4";"5"
"Gelderland";"2013";"44";"56";"23";"8";"13";"4";"3";"5"
"Gelderland";"2014";"47";"53";"21";"7";"12";"4";"4";"5"
"Gelderland";"2015";"47";"53";"21";"7";"12";"4";"4";"5"
"Utrecht";"2010";"48";"52";"17";"8";"9";"5";"6";"6"
"Utrecht";"2011";"53";"47";"18";"7";"8";"5";"6";"5"
"Utrecht";"2012";"52";"48";"17";"7";"8";"4";"6";"6"
"Utrecht";"2013";"52";"48";"17";"7";"9";"4";"5";"8"
"Utrecht";"2014";"53";"47";"16";"7";"7";"5";"6";"6"
"Utrecht";"2015";"55";"45";"13";"8";"8";"5";"6";"7"
"Noord-Holland";"2010";"61";"39";"19";"4";"3";"2";"5";"6"
"Noord-Holland";"2011";"62";"39";"17";"4";"4";"2";"6";"6"
"Noord-Holland";"2012";"61";"39";"19";"4";"3";"2";"7";"5"
"Noord-Holland";"2013";"60";"40";"18";"3";"4";"2";"7";"7"
"Noord-Holland";"2014";"62";"38";"17";"3";"4";"1";"6";"7"
"Noord-Holland";"2015";"63";"37";"16";"4";"3";"2";"7";"6"
"Zuid-Holland";"2010";"49";"51";"16";"7";"9";"4";"8";"7"
"Zuid-Holland";"2011";"50";"50";"15";"7";"9";"4";"8";"7"
"Zuid-Holland";"2012";"51";"49";"15";"7";"9";"4";"8";"8"
"Zuid-Holland";"2013";"50";"50";"16";"6";"9";"3";"8";"8"
"Zuid-Holland";"2014";"52";"49";"15";"7";"8";"3";"8";"8"
"Zuid-Holland";"2015";"52";"48";"14";"7";"8";"4";"8";"8"
"Zeeland";"2010";"44";"56";"18";"11";"12";"8";"2";"5"
"Zeeland";"2011";"46";"54";"18";"12";"9";"9";"2";"5"
"Zeeland";"2012";"48";"52";"17";"11";"11";"8";"1";"4"
"Zeeland";"2013";"43";"57";"18";"8";"13";"8";"2";"8"
"Zeeland";"2014";"47";"53";"16";"12";"9";"8";"3";"6"
"Zeeland";"2015";"47";"53";"16";"7";"14";"8";"2";"8"
"Noord-Brabant";"2010";"32";"69";"55";"3";"2";"1";"4";"3"
"Noord-Brabant";"2011";"32";"68";"55";"3";"3";"1";"4";"3"
"Noord-Brabant";"2012";"35";"65";"53";"2";"2";"1";"4";"3"
"Noord-Brabant";"2013";"34";"66";"53";"2";"3";"1";"5";"3"
"Noord-Brabant";"2014";"38";"62";"49";"2";"2";"1";"4";"3"
"Noord-Brabant";"2015";"39";"61";"48";"3";"2";"1";"5";"3"
"Limburg";"2010";"21";"79";"72";"1";"1";"1";"3";"2"
"Limburg";"2011";"23";"77";"69";"1";"1";"0";"3";"2"
"Limburg";"2012";"24";"76";"68";"1";"1";"0";"4";"2"
"Limburg";"2013";"23";"77";"67";"1";"1";"0";"5";"3"
"Limburg";"2014";"25";"75";"66";"1";"1";"0";"4";"2"
"Limburg";"2015";"28";"72";"64";"1";"1";"0";"4";"2"
